"filename", "language", "JavaScript JSX", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Shell Script", "Batch", "HTML", "PostCSS", "comment", "blank", "total"
"h:\AI_Interceptor\.claude\settings.local.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"h:\AI_Interceptor\.eslintrc.json", "JSON with Comments", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"h:\AI_Interceptor\CHANGELOG.md", "Markdown", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 67, 303
"h:\AI_Interceptor\CONTRIBUTING.md", "Markdown", 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 139, 554
"h:\AI_Interceptor\PRIVACY_POLICY.md", "Markdown", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 68, 201
"h:\AI_Interceptor\README.md", "Markdown", 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 63, 317
"h:\AI_Interceptor\ROADMAP.md", "Markdown", 0, 0, 0, 672, 0, 0, 0, 0, 0, 0, 186, 858
"h:\AI_Interceptor\docs\ARCHITECTURE.md", "Markdown", 0, 0, 0, 637, 0, 0, 0, 0, 0, 3, 149, 789
"h:\AI_Interceptor\docs\README.md", "Markdown", 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 64, 276
"h:\AI_Interceptor\docs\SECURITY_AUDIT.md", "Markdown", 0, 0, 0, 624, 0, 0, 0, 0, 0, 0, 192, 816
"h:\AI_Interceptor\docs\TESTING.md", "Markdown", 0, 0, 0, 708, 0, 0, 0, 0, 0, 0, 210, 918
"h:\AI_Interceptor\docs\current\MEDIA_GENERATION_GUIDE.md", "Markdown", 0, 0, 0, 701, 0, 0, 0, 0, 0, 0, 235, 936
"h:\AI_Interceptor\docs\current\PRE_LAUNCH_CHECKLIST.md", "Markdown", 0, 0, 0, 391, 0, 0, 0, 0, 0, 0, 115, 506
"h:\AI_Interceptor\docs\current\STORE_LISTING_FINAL_COPY.md", "Markdown", 0, 0, 0, 359, 0, 0, 0, 0, 0, 0, 131, 490
"h:\AI_Interceptor\docs\current\adding_ai_services.md", "Markdown", 0, 0, 0, 446, 0, 0, 0, 0, 0, 0, 92, 538
"h:\AI_Interceptor\docs\current\building_a_trusted_extension.md", "Markdown", 0, 0, 0, 660, 0, 0, 0, 0, 0, 0, 172, 832
"h:\AI_Interceptor\docs\current\launch_roadmap.md", "Markdown", 0, 0, 0, 451, 0, 0, 0, 0, 0, 0, 129, 580
"h:\AI_Interceptor\docs\current\marketing.md", "Markdown", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 117, 526
"h:\AI_Interceptor\docs\current\technical_architecture.md", "Markdown", 0, 0, 0, 1807, 0, 0, 0, 0, 0, 0, 461, 2268
"h:\AI_Interceptor\docs\development\ENCRYPTION_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 100, 343
"h:\AI_Interceptor\docs\development\ESLINT_SECURITY_RULES.md", "Markdown", 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 93, 340
"h:\AI_Interceptor\docs\development\XSS_AUDIT.md", "Markdown", 0, 0, 0, 422, 0, 0, 0, 0, 0, 0, 81, 503
"h:\AI_Interceptor\docs\development\css-refactor-completed.md", "Markdown", 0, 0, 0, 419, 0, 0, 0, 0, 0, 4, 81, 504
